time (s),Altitude (m),Airspeed (kmh),ax,ay,GForce
115.6667,13643,404,0.2008190914422226,-0.25331061511142833,0.3232562067707439
115.8333,13624,403,0.19413214583001592,-0.27010758563732906,0.33263402992386937
116.0,13605,402,0.1364935820204495,-0.2905353045831081,0.32100040676293945
116.1667,13587,402,0.11296763760838197,-0.2946491309283878,0.31556266810836947
116.3333,13568,401,0.10853241857987705,-0.30056275629972723,0.3195579076744728
116.5,13550,400,0.0943951579265188,-0.3094331943567364,0.32351096984458844
116.6667,13531,399,0.11651581283118562,-0.3119169170126989,0.33296861377375914
116.8333,13513,393,0.11962046615113865,-0.3107267999067168,0.33295675410251785
117.0,13495,393,0.19493705595000355,-0.28643576235708296,0.3464764086334568
117.1667,13477,397,0.26228667823470314,-0.24142650258633272,0.35648430222165917
117.3333,13459,396,0.311618763569298,-0.2375359595788727,0.39182851593715573
117.5,13441,395,0.29481161777706977,-0.2429049089291677,0.3819904249562027
117.6667,13423,394,0.3065205960123219,-0.2485819892856534,0.3946490607830731
117.8333,13404,394,0.2864955820986238,-0.23181686135790608,0.36853598979185187
118.0,13386,393,0.24327131389410267,-0.22592872575109826,0.3320010862682199
118.1667,13367,392,0.15551802016309768,-0.26189319039495285,0.30458807883877637
118.3333,13349,391,0.07452907269467544,-0.27247303578586485,0.2824821019234553
118.5,13330,390,0.004058370352880002,-0.2772367895572216,0.2772664924831637
118.6667,13312,390,0.0022645706569071953,-0.30694947170077386,0.306957825209986
118.8333,13295,389,0.008816459732118791,-0.28481008181917633,0.28494650843281794
119.0,13278,389,0.008657856752810817,-0.2944848635569617,0.2946121065871437
119.1667,13261,383,0.015965105307539328,-0.3084316932857838,0.30884461143205433
119.3333,13244,383,-0.00048059648915654623,-0.3813304291346003,0.38133073198598066
119.5,13227,387,-0.023814517230699894,-0.3827030127076322,0.38344325155937925
119.6667,13210,387,-0.08815248679957635,-0.40257279395533274,0.4121112900200045
119.8333,13192,386,-0.10917898503671743,-0.3350803304780891,0.3524186127986903
120.0,13175,386,-0.1311399943066209,-0.3022686097722289,0.3294905318220488
120.1667,13158,386,-0.11140226618655616,-0.19803092817017978,0.22721512586851084
120.3333,13140,386,-0.10476129651820734,-0.17254620706789028,0.20185916581045074
120.5,13123,385,-0.18388616012704626,-0.15848280880039065,0.2427569166296418
120.6667,13105,384,-0.17937114705305135,-0.10830565319454999,0.20953310695216046
